"district","first","last","id","affiliation","user_id","screen_name","chamber"
"TX-13","Mac","Thornberry","4813","1","377534571","MacTXPress","0"
"TX-33","Marc","Veasy","4833","2","20688358","MarcVeasey","0"
"FL-25","Mario","Diaz-Balart","1225","1","37094727","MarioDB","0"
"MA-05","Ed","Markey","2505","2","21406834","MarkeyMemo","1"
"WI-02","Mark","Pocan","5502","2","309070309","MarkPocan","0"
"OK-02","Markwayne","Mullin","4002","1","366304362","MarkwayneMullin","0"
"TN-07","Marsha","Blackburn","4707","1","278145569","MarshaBlackburn","0"
"CA-43","Maxine","Waters","643","2","36686040","MaxineWaters","0"
"TX-10","Michael","McCaul","4810","1","26424123","McCaulPressShop","0"
"NC-12","Mel","Watt","3708","2","257169015","MelWattNC12","0"
"TX-26","Michael","Burgess","4826","1","15751083","michaelcburgess","0"
"MN-06","Michele","Bachmann","2706","1","18217624","MicheleBachmann","0"
"NM-01","Michelle","Lujan Grisham","3501","2","368472546","Michelle4NM","0"
"PA-03","Mike","Kelly","4203","1","935368364","MikeKellyPA","0"
"CA-12","Nancy","Pelosi","612","2","15764644","NancyPelosi","0"
"MA-03","Niki","Tsongas","2503","2","242892689","nikiinthe0","0"
"NY-17","Nita","Lowey","3617","2","221792092","NitaLowey","0"
"NY-07","Nydia","Velazquez","3607","2","164369297","NydiaVelazquez","0"
"NC-10","Patrick","McHenry","3706","1","27676828","PatrickMcHenry","0"
"FL-18","Patrick","Murphy","1218","2","261852987","PatrickMurphyFL","0"
"NY-20","Paul","Tonko","3620","2","84119348","paultonko","0"
"TX-23","Pete","Gallego","4823","2","69066533","petegallego","0"
"TX-22","Pete","Olson","4822","1","12726012","PeteOlson","0"
"IL-06","Peter","Roskam","1706","1","20015903","PeterRoskam","0"
"TX-32","Pete","Sessions","4832","1","24735461","PeteSessions","0"
"VA-04","Randy","Forbes","5104","1","15160884","Randy_Forbes","0"
"TX-19","Randy","Neugebauer","4819","1","34340464","RandyNeugebauer","0"
"ID-01","Raul","Labrador","1601","1","246341769","Raul_Labrador","0"
"WA-09","Adam","Smith","5309","2","2147483647","Rep_Adam_Smith","0"
"NJ-08","Albio","Sires","3408","2","18696134","Rep_Albio_Sires","0"
"CA-44","Janice","Hahn","644","2","339852137","Rep_JaniceHahn","0"
"FL-02","Steve","Southerland","1202","1","237781383","Rep_Southerland","0"
"AR-03","Steve","Womack","503","1","234469322","rep_stevewomack","0"
"IL-18","Aaron","Schock","1718","1","20058197","repaaronschock","0"
"CA-28","Adam","Schiff","628","2","29501253","RepAdamSchiff","0"
"NE-03","Adrian","Smith","3103","1","296245061","RepAdrianSmith","0"
"MS-01","Alan","Nunnelee","2801","1","240376522","RepAlanNunnelee","0"
"TX-09","Al","Green","4809","2","156333623","RepAlGreen","0"
"IN-07","Andre","Carson","1807","2","199325935","RepAndreCarson","0"
"NJ-01","Rob","Andrews","3401","2","272491182","RepAndrews","0"
"CA-18","Anna","Eshoo","618","2","249348006","RepAnnaEshoo","0"
"NH-02","Annie","Kuster","3302","2","1058717720","RepAnnieKuster","0"
"MO-02","Ann","Wagner","2902","1","1051446626","RepAnnWagner","0"
"CA-13","Barbara","Lee","613","2","248735463","RepBarbaraLee","0"
"CA-34","Xavier","Becerra","634","2","133832049","RepBecerra","0"
"NM-03","Ben Ray","Lujan","3503","2","19318314","repbenraylujan","0"
"CA-07","Ami","Bera","607","2","950783972","RepBera","0"
"TX-17","Bill","Flores","4817","1","237312687","RepBillFlores","0"
"IL-11","Bill","Foster","1711","2","1080509366","RepBillFoster","0"
"OH-06","Bill","Johnson","3906","1","211530910","RepBillJohnson","0"
"PA-09","Bill","Schuster","4209","1","22527499","RepBillShuster","0"
"OR-03","Earl","Blumenauer","4103","2","15954997","repblumenauer","0"
"IL-01","Bobby","Rush","1701","2","305216911","RepBobbyRush","0"
"VA-03","Bobby","Scott","5103","2","161791703","repbobbyscott","0"
"OH-07","Bob","Gibbs","3907","1","234822928","RepBobGibbs","0"
"OR-01","Suzanne","Bonamici","4101","2","558769636","RepBonamici","0"
"LA-03","Charles","Boustany","2203","1","249339682","RepBoustany","0"
"PA-01","Bob","Brady","4201","2","148453195","RepBrady","0"
"NY-26","Brian","Higgins","3626","2","33576489","RepBrianHiggins","0"
"IL-17","Cheri","Bustos","1717","2","1092979962","RepCheri","0"
